Area Code,Area Name,All people aged 16 - 74,People aged 16-74 - Economically active - Employees - Part-time,People aged 16-74 - Economically active - Employees - Full-time,People aged 16-74 - Economically active - Self - employed,People aged 16-74 - Economically active - Unemployed,People aged 16-74 - Economically active - Full-time student,People aged 16-74 - Economically inactive - Retired,People aged 16-74 - Economically inactive - Student,People aged 16-74 - Economically inactive - Looking after home or family,People aged 16-74 - Economically inactive -  Permanently sick or disabled,People aged 16-74 - Economically inactive - Other,Unemployed people aged 16 - 74 - Aged 16 - 24,Unemployed people aged 16 - 74 - Aged 50 and over,Unemployed people aged 16 - 74 - Who have never worked,Unemployed people aged 16 - 74 - Who are long-term unemployed,All males aged 16 - 74,Males aged 16-74 - Economically active - Employees - Part -time,Males aged 16-74 - Economically active - Employees - Full-time,Males aged 16-74 - Economically active - Self-employed,Males aged 16-74 - Economically active - Unemployed,Males aged 16-74 - Economically active - Full-time student,Males aged 16-74 - Economically inactive - Retired,Males aged 16-74 - Economically inactive - Student,Males aged 16-74 - Economically inactive - Looking after home or family,Males aged 16-74 - Economically inactive - Permanently sick or disabled,Males aged 16-74 Economically inactive - Other,Unemployed males aged 16 - 74 - Aged 16-24,Unemployed males aged 16 - 74 - Aged 50 and over,Unemployed males aged 16 - 74 - who have never worked,Unemployed males aged 16 - 74 - Who are long-term unemployed,All females aged 16 - 74,Females aged 16-74 - Economically active - Employees - Part-time,Females aged 16-74 - Economically active - Employees - Full-time,Females aged 16-74 - Economically active - Self-employed,Females aged 16-74 - Economically active - Unemployed,Females aged 16-74 - Economically active - Full-time student,Females aged 16-74 - Economically Inactive - Retired,Females aged 16-74 - Economically Inactive - Student,Females aged 16-74 - Economically Inactive - Looking after home or family,Females aged 16-74 - Economically Inactive - Permanently sick or disabled,Females aged 16-74 - Economically Inactive - Other,Unemployed females aged 16 - 74 - Aged 16-24,Unemployed females aged 16 - 74 - Aged 50 and over,Umemployed females aged 16 - 74 - Who have never worked,Unemployed females aged 16 - 74 - Who are long-term unemployed
00AA,City of London,6067,276,3039,887,216,117,546,364,232,180,210,42,47,20,50,3296,103,1716,624,162,62,241,145,23,103,117,33,32,18,34,2771,173,1323,263,54,55,305,219,209,77,93,9,15,0,16
00AB,Barking and Dagenham,113579,11509,45721,6498,5121,2688,13433,5078,10799,7924,4808,1477,721,644,1614,54099,1575,27964,5513,3174,1202,5394,2393,736,4209,1939,926,502,383,945,59480,9934,17757,985,1947,1486,8039,2685,10063,3715,2869,551,219,261,669
00AC,Barnet,228123,21146,91489,27907,7758,6448,23035,16882,17069,7866,8523,1485,1479,871,2343,109165,3901,51956,20090,4407,3003,9324,8160,901,3959,3464,881,923,452,1261,118958,17245,39533,7817,3351,3445,13711,8722,16168,3907,5059,604,556,419,1082
00AD,Bexley,156172,18157,69103,13196,4530,3650,22180,4875,10909,5659,3913,1194,861,385,1343,75881,2081,42094,10627,2651,1594,9431,2322,557,2951,1573,740,575,205,729,80291,16076,27009,2569,1879,2056,12749,2553,10352,2708,2340,454,286,180,614
00AE,Brent,198712,15628,79402,17967,9901,7248,18997,16440,13601,9372,10156,2047,1540,1485,3041,96783,3835,43337,13416,6031,3610,8237,7976,1006,4874,4461,1300,1049,865,1818,101929,11793,36065,4551,3870,3638,10760,8464,12595,4498,5695,747,491,620,1223
00AF,Bromley,212368,23487,92314,21422,5672,4748,30041,7182,15232,6805,5465,1236,1232,424,1888,103095,3284,54774,16116,3409,2330,12793,3696,770,3628,2295,752,817,238,1109,109273,20203,37540,5306,2263,2418,17248,3486,14462,3177,3170,484,415,186,779
00AG,Camden,155165,9710,60366,17843,7665,4998,10828,16968,9857,8944,7986,1349,1354,879,2472,74902,3191,32163,11061,4669,2138,4537,7801,764,5095,3483,811,854,514,1569,80263,6519,28203,6782,2996,2860,6291,9167,9093,3849,4503,538,500,365,903
00AH,Croydon,238077,24240,106748,20406,9163,6394,26395,10535,16824,9063,8309,2082,1694,954,3109,114171,3777,60968,15471,5411,2852,11282,5181,1083,4700,3446,1217,1153,479,1753,123906,20463,45780,4935,3752,3542,15113,5354,15741,4363,4863,865,541,475,1356
00AJ,Ealing,224780,17146,102855,18308,8844,6628,20474,14704,15365,10414,10042,1840,1458,1170,2520,110762,3608,57644,13292,5322,3287,8812,7704,1125,5436,4532,1182,973,612,1486,114018,13538,45211,5016,3522,3341,11662,7000,14240,4978,5510,658,485,558,1034
00AK,Enfield,197706,19128,79568,17714,8177,5838,22202,12612,14712,9082,8673,1680,1488,1033,2709,95038,3412,45534,13719,5115,2580,9279,5885,1080,4780,3654,1027,1048,581,1687,102668,15716,34034,3995,3062,3258,12923,6727,13632,4302,5019,653,440,452,1022
00AL,Greenwich,153795,13752,62807,10949,8354,5174,15903,9400,11898,8845,6713,1969,1289,1146,2901,73736,2596,35984,8304,5032,2356,6371,4479,864,4764,2986,1172,885,616,1717,80059,11156,26823,2645,3322,2818,9532,4921,11034,4081,3727,797,404,530,1184
00AM,Hackney,146865,12013,51388,12087,10143,5148,11069,13448,11650,10340,9579,1967,1348,1717,3328,70045,4187,26875,8098,6301,2334,4899,6303,1178,5666,4204,1196,987,974,2052,76820,7826,24513,3989,3842,2814,6170,7145,10472,4674,5375,771,361,743,1276
00AN,Hammersmith and Fulham,129792,7809,59561,13383,6447,2915,10038,9330,8181,6134,5994,1186,990,693,1851,62377,2050,31036,8545,3947,1382,4136,4451,615,3410,2805,703,678,415,1172,67415,5759,28525,4838,2500,1533,5902,4879,7566,2724,3189,483,312,278,679
00AP,Haringey,162700,12367,64318,14633,9468,5740,13127,13350,11689,8530,9478,1820,1332,1668,3079,77919,3678,34232,9846,5820,2743,5472,6424,1103,4519,4082,1187,927,1011,1840,84781,8689,30086,4787,3648,2997,7655,6926,10586,4011,5396,633,405,657,1239
00AQ,Harrow,150514,15294,63722,14840,4602,4591,16913,9474,10334,5119,5625,1028,975,578,1265,72956,2438,36854,11312,2646,2249,7101,4970,610,2497,2279,638,634,305,702,77558,12856,26868,3528,1956,2342,9812,4504,9724,2622,3346,390,341,273,563
00AR,Havering,161323,19368,68196,14041,4191,3302,25063,4626,11715,6647,4174,1129,857,307,1210,78290,2151,42022,11613,2546,1429,10514,2238,620,3487,1670,736,569,173,680,83033,17217,26174,2428,1645,1873,14549,2388,11095,3160,2504,393,288,134,530
00AS,Hillingdon,175645,18140,80180,13805,4800,5665,20648,8717,11998,6579,5113,1329,907,481,1177,85295,2359,47768,10693,2818,2557,8588,4324,703,3352,2133,837,609,275,640,90350,15781,32412,3112,1982,3108,12060,4393,11295,3227,2980,492,298,206,537
00AT,Hounslow,157406,13267,74147,12065,5137,4878,14855,8765,10931,7065,6296,1332,786,604,1309,77715,2502,42919,8801,3016,2360,6409,4507,809,3596,2796,853,516,352,725,79691,10765,31228,3264,2121,2518,8446,4258,10122,3469,3500,479,270,252,584
00AU,Islington,135661,9209,54658,12850,7873,4002,10639,11033,8763,9380,7254,1386,1211,1055,2686,64863,2653,29096,8375,4744,1748,4380,4758,766,4998,3345,817,826,571,1634,70798,6556,25562,4475,3129,2254,6259,6275,7997,4382,3909,569,385,484,1052
00AW,Kensington and Chelsea,124869,6888,49911,16943,5844,2358,10356,10390,10065,5043,7071,920,1105,640,1644,59522,2110,28007,10215,3282,987,4291,4739,515,2762,2614,527,676,358,959,65347,4778,21904,6728,2562,1371,6065,5651,9550,2281,4457,393,429,282,685
00AX,Kingston upon Thames,109058,10495,49925,10579,2696,4515,10717,7478,7034,2780,2839,542,600,197,709,54175,1628,29689,7623,1630,2173,4561,3879,338,1458,1196,342,398,109,395,54883,8867,20236,2956,1066,2342,6156,3599,6696,1322,1643,200,202,88,314
00AY,Lambeth,203976,14784,93412,17604,12368,6527,14714,13729,11602,9349,9887,2299,1640,1673,4051,100853,3972,50543,11713,7679,3079,6221,6850,1098,5097,4601,1427,1143,989,2544,103123,10812,42869,5891,4689,3448,8493,6879,10504,4252,5286,872,497,684,1507
00AZ,Lewisham,183135,15785,79659,14207,10301,6273,15908,11938,11983,8847,8234,2186,1492,1347,3480,88675,3579,43754,10376,6356,2865,6440,5700,1132,4668,3805,1334,1038,792,2148,94460,12206,35905,3831,3945,3408,9468,6238,10851,4179,4429,852,454,555,1332
00BA,Merton,139476,12361,66680,12771,4541,3619,13860,7210,9291,4361,4782,970,824,422,1278,68485,2265,37947,9263,2692,1784,5866,3730,572,2292,2074,578,558,227,762,70991,10096,28733,3508,1849,1835,7994,3480,8719,2069,2708,392,266,195,516
00BB,Newham,170268,13163,59585,8448,11437,7278,13262,15944,17641,11614,11896,2877,1242,2401,3538,83374,4609,34488,6846,7271,3861,5678,7968,1461,6274,4918,1763,907,1313,2290,86894,8554,25097,1602,4166,3417,7584,7976,16180,5340,6978,1114,335,1088,1248
00BC,Redbridge,171300,16486,69394,16372,6236,4805,19389,11009,13419,7529,6661,1405,1153,770,2023,83907,2932,40406,13104,3870,2374,8297,5587,893,3764,2680,902,781,425,1237,87393,13554,28988,3268,2366,2431,11092,5422,12526,3765,3981,503,372,345,786
00BD,Richmond upon Thames,127541,11127,59761,15870,3312,2981,12756,6155,8897,3195,3487,545,810,183,779,62431,1910,34823,10285,1935,1326,5464,3075,391,1712,1510,348,510,101,444,65110,9217,24938,5585,1377,1655,7292,3080,8506,1483,1977,197,300,82,335
00BE,Southwark,183489,13707,75387,13763,11307,6673,14598,17714,11436,9741,9163,2164,1545,1574,3858,90426,3529,41777,9830,7017,2969,5987,8899,1062,5285,4071,1364,1062,886,2444,93063,10178,33610,3933,4290,3704,8611,8815,10374,4456,5092,800,483,688,1414
00BF,Sutton,129176,14583,60468,12598,3301,2961,15226,4117,8350,4306,3266,841,650,217,939,62951,1902,35446,9815,2001,1374,6366,2054,394,2195,1404,559,436,126,527,66225,12681,25022,2783,1300,1587,8860,2063,7956,2111,1862,282,214,91,412
00BG,Tower Hamlets,143429,10087,51667,8644,9456,4883,11021,12783,14753,9254,10881,2331,1006,1323,3125,72357,4532,29969,6497,6555,2447,5091,6025,1469,5304,4468,1429,779,674,2249,71072,5555,21698,2147,2901,2436,5930,6758,13284,3950,6413,902,227,649,876
00BH,Waltham Forest,159041,14577,67446,11702,7823,5104,14990,9583,12162,7986,7668,1844,1127,1050,2583,77695,3301,37862,9127,4905,2562,6430,5144,951,4222,3191,1150,764,599,1581,81346,11276,29584,2575,2918,2542,8560,4439,11211,3764,4477,694,363,451,1002
00BJ,Wandsworth,204647,12952,104885,18877,7871,5443,15141,12205,11725,7554,7994,1608,1151,731,2171,97550,3028,54966,12362,4719,2211,6267,5584,814,3933,3666,952,779,419,1357,107097,9924,49919,6515,3152,3232,8874,6621,10911,3621,4328,656,372,312,814
00BK,Westminster,146477,8101,62415,16230,6497,3414,11541,13985,9729,6901,7664,1121,1204,645,1989,72382,2596,34714,10499,3714,1466,4859,6929,629,3738,3238,620,777,335,1257,74095,5505,27701,5731,2783,1948,6682,7056,9100,3163,4426,501,427,310,732
1B,Inner London,2096540,146851,870251,186399,116893,65769,162788,173181,149306,111811,113291,23256,16667,16366,37322,1018541,43817,473336,124887,72236,30292,68499,82576,12629,60852,49417,14163,11465,9269,23549,1077999,103034,396915,61512,44657,35477,94289,90605,136677,50959,63874,9093,5202,7097,13773
1C,Outer London,3203792,309891,1389926,289010,114159,91237,357077,174842,230540,130597,116513,25975,20451,12921,34740,1556630,51457,805991,218184,68611,43002,150519,87304,14403,67876,49283,16140,13700,7123,20198,1647162,258434,583935,70826,45548,48235,206558,87538,216137,62721,67230,9835,6751,5798,14542
A,North East,1831354,217455,684414,96482,82987,41584,274985,86736,120428,164313,61970,23258,14771,9390,29321,896081,29480,433423,70324,56193,18215,113577,43585,10473,94019,26792,15155,11474,5957,19657,935273,187975,250991,26158,26794,23369,161408,43151,109955,70294,35178,8103,3297,3433,9664
B,North West,4839669,574505,1876205,343847,175549,123080,691072,223770,296065,374928,160648,49840,30338,17832,55583,2368774,81198,1166184,253822,114624,53941,289169,109145,25439,205342,69910,32279,22064,10988,35556,2470895,493307,710021,90025,60925,69139,401903,114625,270626,169586,90738,17561,8274,6844,20027
D,Yorkshire and The Humber,3574331,460689,1385732,258816,132508,90796,510132,173792,230344,217756,113766,36314,23645,13172,41695,1757192,61261,891778,190484,86033,40943,212411,86837,18058,121136,48251,23028,17286,7908,26633,1817139,399428,493954,68332,46475,49853,297721,86955,212286,96620,65515,13286,6359,5264,15062
E,East Midlands,3020752,379158,1240351,233025,98670,75004,426908,135772,187278,159842,84744,26133,19182,7446,29007,1499123,48731,796573,170182,61102,34068,180886,68466,13324,87800,37991,16619,13101,4375,17399,1521629,330427,443778,62843,37568,40936,246022,67306,173954,72042,46753,9514,6081,3071,11608
F,West Midlands,3780784,451787,1523848,279631,142782,93765,525418,173622,247113,215493,127325,38369,26682,14367,45668,1870363,58755,972080,208495,91847,42404,221330,87208,18243,116531,53470,24333,19117,8442,29039,1910421,393032,551768,71136,50935,51361,304088,86414,228870,98962,73855,14036,7565,5925,16629
G,East of England,3884104,484740,1654889,359109,101023,89995,543197,140348,261876,151711,97216,26219,21051,6108,27405,1925289,59264,1057036,268975,60902,41622,231610,70414,13692,80181,41593,16134,14118,3591,15524,1958815,425476,597853,90134,40121,48373,311587,69934,248184,71530,55623,10085,6933,2517,11881
H,London,5300332,456742,2260177,475409,231052,157006,519865,348023,379846,242408,229804,49231,37118,29287,72062,2575171,95274,1279327,343071,140847,73294,219018,169880,27032,128728,98700,30303,25165,16392,43747,2725161,361468,980850,132338,90205,83712,300847,178143,352814,113680,131104,18928,11953,12895,28315
J,South East,5766307,703347,2492233,552238,133481,156330,772936,240554,377565,198886,138737,33626,28840,7710,34766,2852180,91649,1570557,400389,80405,73100,328643,121369,18935,106013,61120,20940,19478,4448,19670,2914127,611698,921676,151849,53076,83230,444293,119185,358630,92873,77617,12686,9362,3262,15096
K,South West,3534458,467618,1381392,356431,90803,90022,547082,137947,215714,159564,87885,22462,19884,4949,24221,1745804,63255,888546,253490,55023,40893,233757,70276,13626,87537,39401,14217,13350,2996,13669,1788654,404363,492846,102941,35780,49129,313325,67671,202088,72027,48484,8245,6534,1953,10552
64,England,35532091,4196041,14499241,2954988,1188855,917582,4811595,1660564,2316229,1884901,1102095,305452,221511,110261,359728,17489977,588867,9055504,2159232,746976,418480,2030401,827180,158822,1027287,477228,193008,155153,65097,220894,18042114,3607174,5443737,795756,441879,499102,2781194,833384,2157407,857614,624867,112444,66358,45164,138834
220,Wales,2075347,234790,750958,159502,72488,47759,307355,106220,132627,191342,72306,21267,13159,6489,22660,1014606,31751,472021,115584,47230,20659,131406,51319,11244,103785,29607,13956,9438,4068,14261,1060741,203039,278937,43918,25258,27100,175949,54901,121383,87557,42699,7311,3721,2421,8399
727,England and Wales,37607438,4430831,15250199,3114490,1261343,965341,5118950,1766784,2448856,2076243,1174401,326719,234670,116750,382388,18504583,620618,9527525,2274816,794206,439139,2161807,878499,170066,1131072,506835,206964,164591,69165,235155,19102855,3810213,5722674,839674,467137,526202,2957143,888285,2278790,945171,667566,119755,70079,47585,147233
